#separator:Semicolon
#html:false
#columns:ID;Deck;Infinitiv;Präsens;Präteritum;Perfekt;Englische Übersetzung;Tags
#deck:DKFA B1 Verbliste
#guid column:1
#deck column:2
#tags column:8

DKFA_B1_V103;DKFA B1 Verbliste::Gruppe 5a;treten;tritt;trat;getreten;to step;gruppe_5a
DKFA_B1_V104;DKFA B1 Verbliste::Gruppe 5a;vergessen;vergisst;vergaß;vergessen;to forget;gruppe_5a
DKFA_B1_V105;DKFA B1 Verbliste::Gruppe 5b;bitten um;bittet um;bat um;gebeten um;to ask for;gruppe_5b
DKFA_B1_V106;DKFA B1 Verbliste::Gruppe 5b;liegen;liegt;lag;gelegen;to lie;gruppe_5b
DKFA_B1_V107;DKFA B1 Verbliste::Gruppe 5b;sitzen;sitzt;saß;gesessen;to sit;gruppe_5b
DKFA_B1_V108;DKFA B1 Verbliste::Gruppe 6;backen;bäckt;[buk] backte;gebacken;to bake;gruppe_6
DKFA_B1_V109;DKFA B1 Verbliste::Gruppe 6;einladen;lädt ein;lud ein;eingeladen;to invite;gruppe_6
DKFA_B1_V110;DKFA B1 Verbliste::Gruppe 6;fahren;fährt;fuhr;ist gefahren;to drive;gruppe_6
DKFA_B1_V111;DKFA B1 Verbliste::Gruppe 6;erfahren;erfährt;erfuhr;erfahren;to experience;gruppe_6
DKFA_B1_V112;DKFA B1 Verbliste::Gruppe 6;graben;gräbt;grub;gegraben;to dig;gruppe_6
DKFA_B1_V113;DKFA B1 Verbliste::Gruppe 6;schlagen;schlägt;schlug;geschlagen;to hit;gruppe_6
DKFA_B1_V114;DKFA B1 Verbliste::Gruppe 6;tragen;trägt;trug;getragen;to carry;gruppe_6
DKFA_B1_V115;DKFA B1 Verbliste::Gruppe 6;s. vertragen mit;verträgt sich;vertrug sich;vertragen sich;to get along with;gruppe_6
DKFA_B1_V116;DKFA B1 Verbliste::Gruppe 6;wachsen;wächst;wuchs;ist gewachsen;to grow;gruppe_6
DKFA_B1_V117;DKFA B1 Verbliste::Gruppe 6;waschen;wäscht;wusch;gewaschen;to wash;gruppe_6
DKFA_B1_V118;DKFA B1 Verbliste::Gruppe 7a;blasen;bläst;blies;geblasen;to blow;gruppe_7a
DKFA_B1_V119;DKFA B1 Verbliste::Gruppe 7a;braten;brät;briet;gebraten;to roast;gruppe_7a
DKFA_B1_V120;DKFA B1 Verbliste::Gruppe 7a;fallen;fällt;fiel;ist gefallen;to fall;gruppe_7a
DKFA_B1_V121;DKFA B1 Verbliste::Gruppe 7a;gefallen;gefällt;gefiel;gefallen;to please;gruppe_7a
DKFA_B1_V122;DKFA B1 Verbliste::Gruppe 7a;fangen;fängt;fing;gefangen;to catch;gruppe_7a
DKFA_B1_V123;DKFA B1 Verbliste::Gruppe 7a;anfangen mit;fängt an mit;fing an mit;angefangen mit;to begin with (informal);gruppe_7a
DKFA_B1_V124;DKFA B1 Verbliste::Gruppe 7a;hängen;hängt;hing;gehangen;to hang;gruppe_7a
DKFA_B1_V125;DKFA B1 Verbliste::Gruppe 7a;abhängen;hängt ab;hing ab;abgehangen;to depend;gruppe_7a
DKFA_B1_V126;DKFA B1 Verbliste::Gruppe 7a;halten;hält;hielt;gehalten;to hold;gruppe_7a
DKFA_B1_V127;DKFA B1 Verbliste::Gruppe 7a;s. unterhalten mit;unterhält sich mit;unterhielt sich mit;unterhalten sich mit;to converse with;gruppe_7a
DKFA_B1_V128;DKFA B1 Verbliste::Gruppe 7a;lassen;lässt;ließ;gelassen;to let;gruppe_7a
DKFA_B1_V129;DKFA B1 Verbliste::Gruppe 7a;s. verlassen;verlässt sich;verließ sich;verlassen sich;to leave;gruppe_7a
DKFA_B1_V130;DKFA B1 Verbliste::Gruppe 7a;raten;rät;riet;geraten;to advise;gruppe_7a
DKFA_B1_V131;DKFA B1 Verbliste::Gruppe 7a;schlafen;schläft;schlief;geschlafen;to sleep;gruppe_7a
DKFA_B1_V132;DKFA B1 Verbliste::Gruppe 7b;gehen;geht;ging;ist gegangen;to go;gruppe_7b
DKFA_B1_V133;DKFA B1 Verbliste::Gruppe 7b;heißen;heißt;hieß;geheißen;to be called;gruppe_7b
DKFA_B1_V134;DKFA B1 Verbliste::Gruppe 7b;laufen;läuft;lief;ist gelaufen;to run;gruppe_7b
DKFA_B1_V135;DKFA B1 Verbliste::Gruppe 7b;rufen;ruft;rief;gerufen;to call;gruppe_7b
DKFA_B1_V136;DKFA B1 Verbliste::Gruppe 7b;anrufen;ruft an;rief an;angerufen;to call (on the phone);gruppe_7b
DKFA_B1_V137;DKFA B1 Verbliste::Gruppe 7b;stoßen;stößt;stieß;gestoßen;to push;gruppe_7b
DKFA_B1_V138;DKFA B1 Verbliste::Gruppe 7b;verstoßen gegen;verstößt gegen;verstieß gegen;verstoßen gegen;to violate;gruppe_7b
DKFA_B1_V139;DKFA B1 Verbliste::Gruppe 7b;zusammenstoßen mit;stößt zusammen mit;stieß zusammen mit;ist zusammengestoßen mit;to collide with;gruppe_7b
DKFA_B1_V140;DKFA B1 Verbliste::Gruppe 8;brennen;brennt;brannte;gebrannt;to burn;gruppe_8
DKFA_B1_V141;DKFA B1 Verbliste::Gruppe 8;bringen;bringt;brachte;gebracht;to bring;gruppe_8
DKFA_B1_V142;DKFA B1 Verbliste::Gruppe 8;denken;denkt;dachte;gedacht;to think;gruppe_8
DKFA_B1_V143;DKFA B1 Verbliste::Gruppe 8;nachdenken über;denkt nach über;dachte nach über;nachgedacht über;to think about;gruppe_8
DKFA_B1_V144;DKFA B1 Verbliste::Gruppe 8;kennen;kennt;kannte;gekannt;to know;gruppe_8
DKFA_B1_V145;DKFA B1 Verbliste::Gruppe 8;erkennen an;erkennt an;erkannte an;erkannt an;to recognize;gruppe_8
DKFA_B1_V146;DKFA B1 Verbliste::Gruppe 8;nennen;nennt;nannte;genannt;to name;gruppe_8
DKFA_B1_V147;DKFA B1 Verbliste::Gruppe 8;ernennen zu;ernennt zu;ernannte zu;ernannt zu;to appoint;gruppe_8
DKFA_B1_V148;DKFA B1 Verbliste::Gruppe 8;rennen;rennt;rannte;gerannt;to run (in a race);gruppe_8
DKFA_B1_V149;DKFA B1 Verbliste::Gruppe 8;senden;sendet;sandte;gesandt;to send;gruppe_8
DKFA_B1_V150;DKFA B1 Verbliste::Gruppe 8;wenden;wendet;wandte;gewandt;to turn;gruppe_8
DKFA_B1_V151;DKFA B1 Verbliste::Gruppe 9;dürfen;darf;durfte;gedurft;to be allowed to;gruppe_9
DKFA_B1_V152;DKFA B1 Verbliste::Gruppe 9;können;kann;konnte;gekonnt;to be able to;gruppe_9
DKFA_B1_V153;DKFA B1 Verbliste::Gruppe 9;mögen;mag;mochte;gemocht;to like;gruppe_9
DKFA_B1_V154;DKFA B1 Verbliste::Gruppe 9;müssen;muss;musste;gemusst;to have to;gruppe_9
DKFA_B1_V155;DKFA B1 Verbliste::Gruppe 9;sollen;soll;sollte;gesollt;should;gruppe_9
DKFA_B1_V156;DKFA B1 Verbliste::Gruppe 9;wollen;will;wollte;gewollt;to want to;gruppe_9
DKFA_B1_V157;DKFA B1 Verbliste::Gruppe 10;haben;hat;hatte;gehabt;to have;gruppe_10
DKFA_B1_V158;DKFA B1 Verbliste::Gruppe 10;sein;ist;war;ist gewesen;to be;gruppe_10
DKFA_B1_V159;DKFA B1 Verbliste::Gruppe 10;tun;tut;tat;getan;to do;gruppe_10
DKFA_B1_V160;DKFA B1 Verbliste::Gruppe 10;werden;wird;wurde;ist geworden;to become;gruppe_10
DKFA_B1_V161;DKFA B1 Verbliste::Gruppe 10;wissen;weiß;wusste;gewusst;to know;gruppe_10
DKFA_B1_V162;DKFA B1 Verbliste::Gruppe 10;stehen;steht;stand;gestanden;to stand;gruppe_10
DKFA_B1_V163;DKFA B1 Verbliste::Gruppe 10;bestehen auf, aus, in;besteht auf, aus, in;bestand auf, aus, in;bestanden auf, aus, in;to insist on, consist of, consist in;gruppe_10
DKFA_B1_V164;DKFA B1 Verbliste::Gruppe 10;entstehen aus;entsteht aus;entstand aus;ist entstanden aus;to originate from;gruppe_10
DKFA_B1_V165;DKFA B1 Verbliste::Gruppe 10;verstehen;versteht;verstand;verstanden;to understand;gruppe_10
